name,artist,album,played_at,duration_ms,popularity,explicit,song_id,date,duration_mins
Song For Arthur,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:49:15.855000+00:00,241491,39,False,7p05RJr2wHcDdJhgmRv6Eb,2025-07-27 11:49,4.02
I'll Be Your Number One,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:45:18.748000+00:00,178789,37,False,2ZW8M1AFO6h08W4PimB2x8,2025-07-27 11:45,2.98
Changes,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:42:15.543000+00:00,257949,39,False,0Oc5eZEpHXyUcoqgk0HwN6,2025-07-27 11:42,4.3
Didn't Get To Say Goodbye,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:37:57.890000+00:00,219084,44,False,2gSreNaOeXUgNeKFioMqzq,2025-07-27 11:37,3.65
Looking For You,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:34:19.269000+00:00,206232,43,False,6ICWAK9g5dqJIFvCQBn27N,2025-07-27 11:34,3.44
My Home Is Not In This World,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:30:52.240000+00:00,193376,41,False,37xTLJJuchzGGjAPUnli2I,2025-07-27 11:30,3.22
You Can Have Me,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:27:40.325000+00:00,237417,40,False,1jMuiGtq941heZihKt62Oj,2025-07-27 11:27,3.96
"Stop, Please Don't Go",Natalie Bergman,My Home Is Not In This World,2025-07-27 11:23:41.810000+00:00,218700,43,False,3Zr6QKIn5lMtMXIemJOMAJ,2025-07-27 11:23,3.64
Dance,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:20:02.694000+00:00,164335,41,False,1l9AXDDVSrKkVQxVTZkY8Z,2025-07-27 11:20,2.74
Gunslinger,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:17:18.696000+00:00,207254,41,False,3sktlLWaTQykBQ7EzceDP3,2025-07-27 11:17,3.45
Lonely Road,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:13:43.874000+00:00,268066,43,False,0DPDLv364qNKdKY8XZORsW,2025-07-27 11:13,4.47
Cruel Mother - Drokk Remix,ØXN,Cruel Mother - The Remixes,2025-07-27 11:09:15.633000+00:00,440746,30,False,0bCQwx9vXxEVvMtXQ6gsAd,2025-07-27 11:09,7.35
mangetout,Wet Leg,moisturizer,2025-07-27 11:01:54.295000+00:00,204475,74,True,5UW4tA4j23YL6kDfRw3rWT,2025-07-27 11:01,3.41
GOT LOUD? (BONUS),Charlie Romeo,PARTY MUSIC,2025-07-27 10:58:32.927000+00:00,179604,17,True,155QGKaw2Vda0mHciFW9r9,2025-07-27 10:58,2.99
Gnash,Thrice,Gnash,2025-07-27 10:55:29.174000+00:00,162706,53,False,6Yu7zrXznYyNuzkpcwTuUp,2025-07-27 10:55,2.71
Wounds,Puppy Feet,Puppy Feet,2025-07-27 10:52:50.279000+00:00,161133,21,True,3ECQ3cuHBCtqqfhExfyQ4D,2025-07-27 10:52,2.69
Rosary,bloodsports,Rosary,2025-07-27 10:50:05.547000+00:00,196960,19,False,30GSVnROqKqRKbsypfxOWx,2025-07-27 10:50,3.28
Keys Don´t Match - Latteo Remix,Stimming,Keys Don´t Match (Latteo Remix),2025-07-27 10:46:46.687000+00:00,317073,28,False,6Ly6H6faoiaF7j8CEogdML,2025-07-27 10:46,5.28
Madeline (feat. Gabriella Rose),Zach Bryan,Madeline (feat. Gabriella Rose),2025-07-27 10:41:29.927000+00:00,145146,79,True,2DDo2QqElDO9PgOHeGtQiy,2025-07-27 10:41,2.42
More,Chartreuse,More,2025-07-26 19:05:27.822000+00:00,235395,32,False,1JLaRZfbS5ls8i2PcrxTVc,2025-07-26 19:05,3.92
Ask Me For Nothing (feat. Gene Evaro Jr.),Telander,Ask Me For Nothing (feat. Gene Evaro Jr.),2025-07-26 19:01:32.645000+00:00,230284,28,False,6MhriOODAHc0EevLW4LaOq,2025-07-26 19:01,3.84
GOT LOUD? (BONUS),Charlie Romeo,PARTY MUSIC,2025-07-26 18:57:38.807000+00:00,179604,17,True,155QGKaw2Vda0mHciFW9r9,2025-07-26 18:57,2.99
Weak and Predatory,Pain Magazine,Weak and Predatory,2025-07-26 18:54:38.950000+00:00,229133,24,False,3EV5uBAlyXcORXe5HEGaro,2025-07-26 18:54,3.82
Electric Funeral - 2009 Remaster,Black Sabbath,Paranoid,2025-07-26 18:50:34.196000+00:00,289733,66,False,37gJgdjcyAIeeAeWzEIawU,2025-07-26 18:50,4.83
Russell County Line,49 Winchester,Fortune Favors the Bold,2025-07-24 17:41:57.614000+00:00,249872,69,False,7JQavxjJS7gEB6oxhhGyJj,2025-07-24 17:41,4.16
Iron Man - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:41:31.116000+00:00,354213,81,False,755bvJDSA3LNcNuFgBT9LK,2025-07-24 13:41,5.9
Planet Caravan - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:32:02.531000+00:00,269240,73,False,4zgHtuasZkiZu1caZwxF5P,2025-07-24 13:32,4.49
Paranoid - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:27:33.362000+00:00,167720,86,False,3Jnxngdff0lVu2rza1GVx6,2025-07-24 13:27,2.8
War Pigs - 2009 Remaster,Black Sabbath,Paranoid,2025-07-24 13:24:45.254000+00:00,475000,80,False,6TYQRlRci6AkVrN9a5C7ne,2025-07-24 13:24,7.92
Wicked World - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:16:13.542000+00:00,284373,57,False,2X0g40RcASNCKcum3drycX,2025-07-24 13:16,4.74
Warning - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:11:29.153000+00:00,632306,58,False,5WQOEqeiGrGhtMDqZBpu80,2025-07-24 13:11,10.54
Sleeping Village - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 13:00:56.974000+00:00,226053,59,False,1K8N1137M0cVuKEzLTBmLg,2025-07-24 13:00,3.77
"Evil Woman, Don't Play Your Games with Me - 2009 Remaster",Black Sabbath,Black Sabbath,2025-07-24 12:57:10.544000+00:00,200333,64,False,046x8yuXjJFPaaQI6Iyz9e,2025-07-24 12:57,3.34
N.I.B. - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:53:50.545000+00:00,366173,77,False,3XclwoQxz4p6Dl7VUf90KW,2025-07-24 12:53,6.1
Behind the Wall of Sleep - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:48:57.935000+00:00,217066,62,False,5JYanX4zPe3uX3nShgE0qR,2025-07-24 12:48,3.62
The Wizard - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:45:06.100000+00:00,262493,71,False,02VKxjok07ypt3oFlGRjmH,2025-07-24 12:45,4.37
Black Sabbath - 2009 Remaster,Black Sabbath,Black Sabbath,2025-07-24 12:40:28.021000+00:00,380400,71,False,6KmJMlyPp0rPR7LloToCaF,2025-07-24 12:40,6.34
Virtual You,22º Halo,Lily of the Valley,2025-07-24 12:32:49.247000+00:00,128059,31,False,5jJ8E4bKnXdyrQxmGEnytT,2025-07-24 12:32,2.13
Jamie (feat. Charles Wesley Godwin),Zach Bryan,Summertime Blues,2025-07-24 09:34:21.679000+00:00,220057,69,False,11xeawurZXUDqRPxCasaDt,2025-07-24 09:34,3.67
How To Save A Life,Wyatt Flores,Half Life,2025-07-24 09:31:19.565000+00:00,205194,64,False,77OtRW5pVWMVUelKni2Z2O,2025-07-24 09:31,3.42
Foolin' Ourselves,Evan Honer,West on I-10,2025-07-24 09:27:15.300000+00:00,191539,64,True,6cB0sVqlATraubALqGJ0l1,2025-07-24 09:27,3.19
Streetlight,Sam Barber,Restless Mind,2025-07-24 09:24:03.093000+00:00,192420,70,False,4CNFqDmwnihZRmmgYzkRgC,2025-07-24 09:24,3.21
Somewhere Between,Dylan Gossett,Somewhere Between,2025-07-24 09:20:50.454000+00:00,220691,58,False,11N3xwyjdDK8WAWnkvYZO2,2025-07-24 09:20,3.68
Riches To Rags,Waylon Wyatt,Til The Sun Goes Down,2025-07-24 09:17:08.791000+00:00,210055,61,False,1aZS8593BjWfnJT5H76Obf,2025-07-24 09:17,3.5
Riches To Rags,Waylon Wyatt,Til The Sun Goes Down,2025-07-24 09:14:46.002000+00:00,210055,61,False,1aZS8593BjWfnJT5H76Obf,2025-07-24 09:14,3.5
Traveling Man,Zach Bryan,"Quiet, Heavy Dreams",2025-07-24 09:04:52.931000+00:00,197211,70,False,1cfi4ewXF9ifZ7it025zDK,2025-07-24 09:04,3.29
Tattoos,Tyler Childers,Purgatory,2025-07-24 09:01:35.420000+00:00,203360,70,False,1XcxubL4Y4U4gxLeIbb8VM,2025-07-24 09:01,3.39
Jersey Giant,Evan Honer,Jersey Giant,2025-07-24 08:58:11.557000+00:00,256021,75,False,3hEkAosl2ZuO9FltxY5L1R,2025-07-24 08:58,4.27
If I Were the Devil,Colby Acuff,If I Were the Devil,2025-07-24 08:53:55.020000+00:00,242441,72,False,3lsWwQnDg99gtni4g5V0UG,2025-07-24 08:53,4.04
No Better Time,Dylan Gossett,No Better Time,2025-07-24 08:49:52.040000+00:00,225426,62,False,09jWvgCEDWMnCiTbn0jo6a,2025-07-24 08:49,3.76
