name,artist,album,played_at,duration_ms,popularity,explicit,song_id,date,duration_mins
Defenestration Song,Have A Nice Life,The Unnatural World,2025-07-30 10:33:26.522000+00:00,362070,39,False,2L35Ae2dWD0Clz5qZsTxPE,2025-07-30 10:33,6.03
Guggenheim Wax Museum,Have A Nice Life,The Unnatural World,2025-07-30 10:27:24.377000+00:00,314191,37,False,6I5yDqLQp67tTqZLVRYizS,2025-07-30 10:27,5.24
Weak and Predatory,Pain Magazine,Weak and Predatory,2025-07-30 10:04:40.594000+00:00,229133,29,False,3EV5uBAlyXcORXe5HEGaro,2025-07-30 10:04,3.82
O.D.,Waylon Wyatt,Til The Sun Goes Down,2025-07-28 05:56:57.932000+00:00,169634,65,False,2E6HksJPriDYu6thbR6xrV,2025-07-28 05:56,2.83
Blue Jean Baby,Zach Bryan,Blue Jean Baby,2025-07-28 05:54:07.790000+00:00,132068,75,False,3yDi4w5cuQQEpQXrozMW2B,2025-07-28 05:54,2.2
Losing Sleep,Wyatt Flores,Losing Sleep,2025-07-28 05:51:55.281000+00:00,210874,69,False,2jgsXLMRHhdWfDIlvI8cbx,2025-07-28 05:51,3.51
Scared To Love Again,Evan Honer,Scared To Love Again,2025-07-28 05:48:23.937000+00:00,253620,49,False,6uVbSAvKzTRgWj0IQ094En,2025-07-28 05:48,4.23
Perfect Rope,Clayton Nile Young,Della,2025-07-28 05:44:09.869000+00:00,100700,52,False,0meRp6GpW9RBZH7wrSzKal,2025-07-28 05:44,1.68
Beneath Oak Trees,Dylan Gossett,No Better Time,2025-07-28 05:42:58.379000+00:00,237600,73,False,6xqmYE5XbgqOl4LO39g5v6,2025-07-28 05:42,3.96
Russell County Line,49 Winchester,Fortune Favors the Bold,2025-07-28 05:38:30.429000+00:00,249872,68,False,7JQavxjJS7gEB6oxhhGyJj,2025-07-28 05:38,4.16
Cruel Mother - Ben Frost Remix,ØXN,Cruel Mother - The Remixes,2025-07-28 05:38:28.337000+00:00,574013,26,False,3CPX47FHdhMwVUl352Vc7u,2025-07-28 05:38,9.57
California,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:52:08.472000+00:00,172055,38,False,5KkGh3JEOgIHPDT2uvKIDM,2025-07-27 11:52,2.87
Song For Arthur,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:49:15.855000+00:00,241491,39,False,7p05RJr2wHcDdJhgmRv6Eb,2025-07-27 11:49,4.02
I'll Be Your Number One,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:45:18.748000+00:00,178789,38,False,2ZW8M1AFO6h08W4PimB2x8,2025-07-27 11:45,2.98
Changes,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:42:15.543000+00:00,257949,40,False,0Oc5eZEpHXyUcoqgk0HwN6,2025-07-27 11:42,4.3
Didn't Get To Say Goodbye,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:37:57.890000+00:00,219084,45,False,2gSreNaOeXUgNeKFioMqzq,2025-07-27 11:37,3.65
Looking For You,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:34:19.269000+00:00,206232,44,False,6ICWAK9g5dqJIFvCQBn27N,2025-07-27 11:34,3.44
My Home Is Not In This World,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:30:52.240000+00:00,193376,42,False,37xTLJJuchzGGjAPUnli2I,2025-07-27 11:30,3.22
You Can Have Me,Natalie Bergman,My Home Is Not In This World,2025-07-27 11:27:40.325000+00:00,237417,41,False,1jMuiGtq941heZihKt62Oj,2025-07-27 11:27,3.96
"Stop, Please Don't Go",Natalie Bergman,My Home Is Not In This World,2025-07-27 11:23:41.810000+00:00,218700,43,False,3Zr6QKIn5lMtMXIemJOMAJ,2025-07-27 11:23,3.64
